Foldername,PageURL
1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03638122UH25YGIFEF34&url=%2FThorne-Research-Nutrients-Complete-Multivitamin%2Fdp%2FB00FOTMGTU%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dthorne%2Bresearch%26qid%3D1636924335%26sr%3D8-1-spons%26psc%3D1%26smid%3DA2EJCTH67GJMT3&qualifier=1636924335&id=6248414571847821&widgetName=sp_atf
2,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A103768237HLQ7PHBGF7Q&url=%2FThorne-Research-ResveraCel-Nicotinamide-Resveratrol%2Fdp%2FB097Z5387H%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dthorne%2Bresearch%26qid%3D1636924335%26sr%3D8-2-spons%26psc%3D1%26smid%3DA2EJCTH67GJMT3&qualifier=1636924335&id=6248414571847821&widgetName=sp_atf
3,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09389952T53Q2442YVNJ&url=%2FThorne-Research-Multi-Vitamin-Mineral-Supplement-Antioxidant%2Fdp%2FB000FGWCHI%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dthorne%2Bresearch%26qid%3D1636924335%26sr%3D8-3-spons%26psc%3D1%26smid%3DA2EJCTH67GJMT3&qualifier=1636924335&id=6248414571847821&widgetName=sp_atf
4,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0318261YUBZTQBEKIWI&url=%2FThorne-Research-Management-Protein-Based-Multivitamin-Mineral%2Fdp%2FB098814R1K%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dthorne%2Bresearch%26qid%3D1636924335%26sr%3D8-4-spons%26psc%3D1%26smid%3DA2EJCTH67GJMT3&qualifier=1636924335&id=6248414571847821&widgetName=sp_atf
5,https://www.amazon.com/Thorne-Research-Multi-Vitamin-M-High-Performance/dp/B01M5JLXQG/ref=sr_1_6?keywords=thorne+research&qid=1636924335&sr=8-6
